#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
ATTEMPT_CLEAR_NAME;Attempt to clear your name of apostasy;;Versuchen Sie, Ihren Namen von der Apostasie reinzuwaschen;;;x
ATTEMPT_REMOVE_DECADENT;Attempt to remove decadence;;Versuch, Dekadenz zu beseitigen;;;x
ATTEMPT_REMOVE_HEDONIST;Attempt to remove hedonism;;Versuch, Hedonismus zu beseitigen;;;x
ATTEMPT_REMOVE_DRUNKARD;Attempt to remove drunkenness;;Versuch, Trunkenheit zu beseitigen;;;x
ATTEMPT_REMOVE_CYNICAL;Attempt to remove cynicism;;Versuch, Zynismus zu beseitigen;;;x
ATTEMPT_REMOVE_ARBITRARY;Attempt to remove arbitrariness;;Versuch, Willkür zu beseitigen;;;x
ATTEMPT_REMOVE_SLOTH;Attempt to remove slothfulness;;Versuch der Beseitigung von Trägheit;;;x
ATTEMPT_REMOVE_GREED;Attempt to remove greed;;Versuch, die Habgier zu beseitigen;;;x
BEGIN_FASTING;Begin a fast to remove gluttony;;Beginne ein Fasten, um Völlerei zu beseitigen;;;x
BEGIN_HURUFI_STUDIES;Begin studying the Qur'an to unlock its mysteries...;;Beginne mit dem Studium des Korans, um seine Geheimnisse zu entschlüsseln...;;;x
EPIC_POEM_ADVANCES;Work on the poem advances!\n;;Die Arbeit an dem Gedicht schreitet voran!\n;;;x
EPIC_POEM_ADVANCES_MORE;Work on the poem advances quickly!\n;;Die Arbeit an dem Gedicht schreitet schnell voran!\n;;;x
GET_HURUFI_OMENS;Begin studying the Qur'an to look for omens...;;Beginnt mit dem Studium des Korans, um nach Omen zu suchen...;;;x
NOT_RECENTLY_RAISE_ZEALOTS;Has not raised zealots within the last month\n;;Hat innerhalb des letzten Monats keine Eiferer aufgestellt\n;;;x
ZEALOT_ARMY_RAISED;An army of zealots is called to your service for the duration of the war\n;;Eine Armee von Zeloten wird für die Dauer des Krieges zu euren Diensten gerufen\n;;;x
